dteday,season,yr,mnth,holiday,weekday,workingday,instant_y,hr,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
2011-01-01,1,0,1,0,6,0,1,0,1,0.24,0.2879,0.81,0.0,3,13,16
2011-01-01,1,0,1,0,6,0,2,1,1,0.22,0.2727,0.8,0.0,8,32,40
2011-01-01,1,0,1,0,6,0,3,2,1,0.22,0.2727,0.8,0.0,5,27,32
2011-01-01,1,0,1,0,6,0,4,3,1,0.24,0.2879,0.75,0.0,3,10,13
2011-01-01,1,0,1,0,6,0,5,4,1,0.24,0.2879,0.75,0.0,0,1,1
2011-01-01,1,0,1,0,6,0,6,5,2,0.24,0.2576,0.75,0.0896,0,1,1
2011-01-01,1,0,1,0,6,0,7,6,1,0.22,0.2727,0.8,0.0,2,0,2
2011-01-01,1,0,1,0,6,0,8,7,1,0.2,0.2576,0.86,0.0,1,2,3
2011-01-01,1,0,1,0,6,0,9,8,1,0.24,0.2879,0.75,0.0,1,7,8
2011-01-01,1,0,1,0,6,0,10,9,1,0.32,0.3485,0.76,0.0,8,6,14
2011-01-01,1,0,1,0,6,0,11,10,1,0.38,0.3939,0.76,0.2537,12,24,36
2011-01-01,1,0,1,0,6,0,12,11,1,0.36,0.3333,0.81,0.2836,26,30,56
2011-01-01,1,0,1,0,6,0,13,12,1,0.42,0.4242,0.77,0.2836,29,55,84
2011-01-01,1,0,1,0,6,0,14,13,2,0.46,0.4545,0.72,0.2985,47,47,94
2011-01-01,1,0,1,0,6,0,15,14,2,0.46,0.4545,0.72,0.2836,35,71,106
2011-01-01,1,0,1,0,6,0,16,15,2,0.44,0.4394,0.77,0.2985,40,70,110
2011-01-01,1,0,1,0,6,0,17,16,2,0.42,0.4242,0.82,0.2985,41,52,93
2011-01-01,1,0,1,0,6,0,18,17,2,0.44,0.4394,0.82,0.2836,15,52,67
2011-01-01,1,0,1,0,6,0,19,18,3,0.42,0.4242,0.88,0.2537,9,26,35
2011-01-01,1,0,1,0,6,0,20,19,3,0.42,0.4242,0.88,0.2537,6,31,37
2011-01-01,1,0,1,0,6,0,21,20,2,0.4,0.4091,0.87,0.2537,11,25,36
2011-01-01,1,0,1,0,6,0,22,21,2,0.4,0.4091,0.87,0.194,3,31,34
2011-01-01,1,0,1,0,6,0,23,22,2,0.4,0.4091,0.94,0.2239,11,17,28
2011-01-01,1,0,1,0,6,0,24,23,2,0.46,0.4545,0.88,0.2985,15,24,39
